 accX_mean, accX_std_deviation, accX_variance, accX_median, accX_min, accX_max, accX_add, accY_mean, accY_std_deviation, accY_variance, accY_median, accY_min, accY_max, accY_add, accZ_mean, accZ_std_deviation, accZ_variance, accZ_median, accZ_min, accZ_max, accZ_add, average_resultant_acceleration,class
-6419.2,238.05075089148534,56668.16,-6304.0,-6752,-6192,227.84,-13609.6,1398.681893784287,1956311.0400000003,-13440.0,-15568,-11856,1253.12,-736.0,312.0615323938534,97382.4,-736.0,-1072,-240,262.4,15065.491588394983,Midair-S
-5766.4,685.4725669200774,469872.64,-5616.0,-6784,-4976,622.0799999999998,-11926.4,246.3376544501469,60682.23999999997,-11920.0,-12256,-11632,218.87999999999997,-470.4,186.20590753249482,34672.64,-512.0,-672,-208,171.52,13255.627562661828,Midair-S
-4857.6,126.22773070922251,15933.44,-4816.0,-5040,-4688,113.92000000000007,-9651.2,1308.146536134236,1711247.36,-9792.0,-11408,-7744,1141.7599999999998,-105.6,132.17200913960562,17469.43999999999,-48.0,-368,-16,104.96,10805.23440560176,Midair-S
680.0,306.75940626708314,94101.33333333331,712.0,144,1072,248.0,-6536.0,370.97349411155153,137621.33333333337,-6536.0,-7024,-6080,344.0,2530.6666666666665,325.4753788264517,105934.22222222225,2552.0,2032,2928,290.6666666666667,7041.730595370556,Backhand Tennis
-470.4,396.2835348585656,157040.63999999996,-240.0,-1008,-16,378.88,-7392.0,671.6189395780914,451072.0,-7584.0,-8112,-6336,608.0,2784.0,347.75623646456717,120934.4,2672.0,2256,3200,307.2,7912.875340860615,Backhand Tennis
-2108.8,824.1724091475035,679260.1599999998,-2096.0,-3312,-976,700.1600000000002,-8518.4,286.14513799818445,81879.04000000002,-8368.0,-9040,-8272,244.47999999999996,537.6,1106.737475646325,1224867.84,464.0,-864,2096,977.92,8791.995777978967,Backhand Tennis
-6915.2,1681.7027561373623,2828124.1600000006,-7408.0,-9344,-4416,1448.96,-10233.6,198.96693192588558,39587.84,-10272.0,-10432,-9856,151.03999999999982,-1289.6,941.9421638296058,887255.0399999998,-816.0,-2912,-416,843.5200000000002,12418.116932933108,Backhand Tennis
-11011.2,979.0849605626673,958607.36,-11024.0,-12224,-9808,872.9599999999997,-13622.4,2118.525676030385,4488151.04,-13264.0,-16496,-10992,1927.68,-6297.6,1148.5548484944024,1319178.2399999998,-6960.0,-7456,-4288,1012.48,18613.86775928098,Backhand Tennis
-19641.6,4455.540083985329,19851837.439999994,-18464.0,-26848,-14560,3947.52,-18742.4,975.7953883883647,952176.64,-18704.0,-20208,-17504,839.6800000000003,-412.8,4422.1568674121,19555471.36,-976.0,-6064,6688,3747.84,27152.17140782667,Backhand Tennis
-32163.2,811.4003697312442,658370.5599999999,-32544.0,-32624,-30544,647.6799999999996,-19654.4,1298.4904466340906,1686077.4400000004,-19472.0,-21008,-17456,1057.2800000000002,13667.2,2191.9743064187587,4804751.36,14448.0,10832,16368,2056.96,40094.37902549434,Backhand Tennis
-32624.0,0.0,0.0,-32624.0,-32624,-32624,0.0,-9929.6,2377.808873732285,5653975.04,-8368.0,-14256,-8096,2059.52,5347.2,1769.3251142738013,3130511.36,4832.0,3024,7568,1635.84,34518.3267265376,Backhand Tennis
-29356.8,3715.066319731049,13801717.759999998,-31408.0,-32624,-23248,3434.24,-2502.4,3220.440317720544,10371235.839999998,-3024.0,-6640,2576,2776.32,13465.6,2185.3586982461247,4775792.639999999,13808.0,10112,15952,1940.48,32394.53804825745,Backhand Tennis
-14067.2,3608.7062723363897,13022760.96,-12080.0,-18960,-10656,3485.44,6790.4,2432.012631546144,5914685.44,6704.0,2592,9344,1927.68,14688.0,1217.7250921287614,1482854.4,15024.0,12880,16000,1120.0,21441.38502989021,Backhand Tennis
-7680.0,1367.6771548870736,1870540.8000000003,-8256.0,-9456,-5744,1260.8,-1097.6,708.8270875185287,502435.84,-1376.0,-1712,272,547.84,12588.8,257.4757464306104,66293.75999999997,12640.0,12160,12880,221.4400000000001,14787.326032789024,Backhand Tennis
-4448.0,334.5492489903392,111923.19999999998,-4320.0,-5104,-4160,262.4,-665.6,119.13286700151224,14192.640000000005,-704.0,-800,-464,103.68,9593.6,1056.8045420038657,1116835.8400000005,9152.0,8672,11632,815.3600000000004,10595.512650174129,Backhand Tennis
-3587.2,319.743897517998,102236.16,-3392.0,-4192,-3328,259.84,-982.4,327.83996095656187,107479.04,-768.0,-1568,-720,289.2800000000001,10336.0,263.10150132600916,69222.4,10352.0,9968,10688,230.4,10984.808127591486,Backhand Tennis
-2198.4,162.09824181649844,26275.840000000004,-2288.0,-2352,-1920,145.92,-3228.8,245.4631540577934,60252.16,-3360.0,-3488,-2816,221.44,8489.6,395.3780975218531,156323.84,8544.0,7872,8944,346.87999999999994,9345.128151074228,Backhand Tennis
-2003.2,69.66893138264717,4853.76,-2000.0,-2096,-1888,55.040000000000006,-4131.2,419.84682921274987,176271.36000000004,-4080.0,-4800,-3632,362.24,7424.0,448.3427260478305,201011.2,7488.0,6704,7904,390.4,8728.997633176446,Backhand Tennis
-1356.8,79.9359743794995,6389.76,-1392.0,-1440,-1232,74.24000000000002,-6096.0,439.69443935533235,193331.2,-6128.0,-6768,-5424,345.6,5872.0,258.1906272504871,66662.39999999997,5984.0,5360,6064,204.8,8572.193782224012,Backhand Tennis
-1212.8,258.2699363069577,66703.36,-1296.0,-1584,-912,234.24,-7148.8,464.4301454470845,215695.36,-6976.0,-8016,-6736,373.7600000000001,4464.0,420.2856171700384,176640.00000000003,4592.0,3728,4944,352.0,8514.899957133965,Backhand Tennis
326.4,676.0714755112806,457072.6400000001,16.0,-432,1136,647.68,-8441.6,442.54970342324265,195850.24,-8160.0,-8992,-7952,427.52000000000015,2451.2,1259.1664544451621,1585500.16,3376.0,864,3600,1231.36,8796.336109994887,Backhand Tennis
2024.0,80.92795149596543,6549.333333333332,2008.0,1904,2176,58.66666666666666,-5096.0,157.78466338652814,24896.000000000004,-5136.0,-5296,-4800,128.0,6640.0,304.14031849350937,92501.33333333331,6672.0,6240,7120,261.3333333333333,8611.352507010732,Shake
3555.2,1152.062220541929,1327247.3600000006,3696.0,2224,5344,994.56,-8755.2,3020.8305083205178,9125416.959999997,-8576.0,-12880,-4832,2672.640000000001,8272.0,739.2623350340527,546508.8,8032.0,7440,9456,665.6,12558.620866958283,Shake
