 X, Y, Z,class
-1728,-5776,5360,muster
-1792,-5744,5392,muster
-1792,-5712,5200,muster
-1808,-5616,5136,muster
-1728,-5584,5088,muster
-1856,-5568,4944,muster
-1840,-5776,5056,muster
-1856,-5984,4912,muster
-1728,-6208,5008,muster
-1536,-2048,9232,muster
-1920,-8560,1568,muster
-1696,-5312,6832,muster
-1840,-6944,4480,muster
-1776,-6064,5776,muster
-1824,-6736,4704,muster
-1920,-6656,4704,muster
-1888,-6000,5632,muster
-1968,-6080,4848,muster
-1856,-5520,4736,muster
-2688,-2624,4624,muster
-2272,-8640,64,muster
-3392,-4032,7552,muster
-7072,-8384,-1344,muster
-7520,-8144,-1536,muster
-8176,-8032,-1632,muster
-8448,-8080,-1472,muster
-8736,-8272,-1296,muster
-9328,-8624,-1120,muster
-9488,-8912,-1136,muster
-9360,-9456,-1424,muster
-9808,-10160,-2208,muster
-10560,-9968,-2752,muster
-11008,-9504,-3088,muster
-11168,-8624,-2880,muster
-11584,-8272,-2304,muster
-11504,-7920,-1648,muster
-11536,-7168,-1328,muster
-11072,-6320,-1104,muster
-10720,-5712,-768,muster
-10752,-5376,-112,muster
-13312,-4848,992,muster
-14240,-3888,2896,muster
-14432,-2848,4736,muster
-15792,-1136,6880,muster
-15680,576,8736,muster
-15248,960,9552,muster
-14768,-224,9920,muster
-14000,-1344,9920,muster
-13472,-5056,9712,muster
-11840,-5760,9056,muster
-11488,-6016,7920,muster
-10880,-6976,8208,muster
-10240,-6368,8704,muster
-10048,-5024,9168,muster
-8336,-3776,9296,muster
-7552,-3248,8928,muster
-7280,-2608,8736,muster
-5072,-2912,7408,muster
-4224,-3856,5088,muster
-4016,-5168,3024,muster
-2512,-5984,1312,muster
-2096,-6592,80,muster
-1904,-6736,-256,muster
-1408,-6352,-240,muster
-1008,-5376,192,muster
-704,-7552,1808,muster
-608,-8128,1568,muster
-512,-8240,1776,muster
-448,-8112,2160,muster
-608,-7824,2528,muster
-640,-7328,3200,muster
-1440,-6832,3328,muster
-1568,-6640,3264,muster
-1440,-6288,3168,muster
80,-9984,-11056,muster
-1120,-2848,-3360,muster
-1504,-4752,6144,muster
-768,-9040,160,muster
-320,-7712,2608,muster
-448,-7408,2624,muster
-512,-7040,2896,muster
