 X, Y, Z,class
-1520,-3072,7392,muster
-1552,-3040,7680,muster
-1760,-7056,6112,muster
-1216,-496,10864,muster
-1616,-5904,3920,muster
-1136,-5568,4800,muster
-1376,-3712,8032,muster
-1520,-5184,7216,muster
-1520,-5120,7840,muster
-1904,-5360,7856,muster
-2032,-5248,7664,muster
-1920,-4768,7664,muster
-2272,-4672,6816,muster
-1776,-2368,10704,muster
-4576,-3808,5744,muster
-4512,-3888,5712,muster
-4528,-4080,5808,muster
-4736,-4192,5856,muster
-4944,-4352,6272,muster
-5280,-4352,6672,muster
-5760,-4192,7344,muster
-6352,-3600,8048,muster
-6672,-3024,8464,muster
-6912,-2704,8576,muster
-7088,-2592,8496,muster
-7824,-2448,8240,muster
-8704,-2288,8320,muster
-8928,-2048,9040,muster
-11184,-1520,10144,muster
-12480,-864,11584,muster
-12720,32,12752,muster
-14912,384,13488,muster
-15760,-64,12960,muster
-16000,-1328,11360,muster
-17616,-2896,8880,muster
-18304,-4720,6064,muster
-18672,-6320,4368,muster
-18608,-7760,3712,muster
-18784,-8944,3536,muster
-19120,-9024,4272,muster
-19296,-8272,5312,muster
-20352,-7152,5664,muster
-20928,-6928,4464,muster
-21216,-7152,1584,muster
-19632,-8352,-2480,muster
-16800,-9744,-4144,muster
-14352,-10784,-5280,muster
-13984,-11088,-5552,muster
-11424,-10944,-5360,muster
-10976,-10736,-4752,muster
-10752,-9776,-3616,muster
-8016,-9008,-2528,muster
-7216,-9120,-2176,muster
-8560,-8624,-832,muster
-6928,-10096,320,muster
-4704,-10368,-448,muster
-4432,-10128,-176,muster
-4384,-9984,848,muster
-3360,-8592,1632,muster
-3632,-7696,1504,muster
-3696,-6512,1952,muster
-720,-4144,5856,muster
-816,-4448,5936,muster
-864,-4704,5904,muster
-656,-5152,5744,muster
-704,-5008,5440,muster
-624,-4896,5440,muster
-560,-4608,5088,muster
-752,-4432,5264,muster
-928,-4464,8912,muster
-2896,-1536,9168,muster
-736,-3824,7056,muster
-752,-5168,5264,muster
-1072,-4288,7264,muster
-1280,-5024,7120,muster
-1312,-4800,6224,muster
-1328,-4480,6432,muster
-1296,-4608,5744,muster
-1264,-4704,5888,muster
-1120,-5232,3040,muster
-1648,-7424,2048,muster
