 X, Y, Z,class
-1648,-7424,2048,muster
-1072,-2688,8912,muster
-1424,-5936,3424,muster
-2240,-6224,4448,muster
-2352,-6160,4496,muster
-2272,-6096,4528,muster
-2304,-6000,4496,muster
-2304,-5904,4560,muster
-2368,-5856,4672,muster
-2320,-5824,4560,muster
-2240,-5920,4528,muster
-2288,-5984,4688,muster
-1152,-3280,10128,muster
-2352,-7424,2192,muster
-1936,-5504,5600,muster
-1968,-7152,3296,muster
-2064,-5664,6016,muster
-2256,-6704,4096,muster
-2160,-6352,4256,muster
-2144,-5952,4912,muster
-2176,-6288,4416,muster
-2224,-5328,-2544,muster
-3488,-8608,-1024,muster
-3632,-8480,-928,muster
-3664,-8336,-880,muster
-3728,-8336,-864,muster
-3760,-8208,-592,muster
-3904,-8160,-16,muster
-4336,-7984,912,muster
-4912,-3136,5488,muster
-4768,-3280,5536,muster
-4656,-3328,5936,muster
-5168,-3424,6448,muster
-5248,-3616,7456,muster
-5200,-3584,8192,muster
-6064,-3488,8752,muster
-6272,-3248,8976,muster
-6192,-2864,9168,muster
-7360,-2352,9264,muster
-8160,-1808,9936,muster
-9456,-1120,11056,muster
-10800,-320,12496,muster
-12368,-48,14192,muster
-13552,-32,14800,muster
-14800,-240,14672,muster
-15936,-384,13952,muster
-16800,-1136,12416,muster
-17440,-2624,10688,muster
-17632,-4224,9008,muster
-19968,-4736,8240,muster
-21216,-5392,7712,muster
-21520,-6144,6208,muster
-23056,-7120,4336,muster
-23232,-8432,2096,muster
-23344,-10464,320,muster
-21376,-11520,-800,muster
-20592,-11856,-1392,muster
-20496,-10464,-2304,muster
-18064,-8656,-3616,muster
-16144,-8256,-4416,muster
-14720,-8448,-5056,muster
-13104,-8784,-4864,muster
-11488,-9136,-4080,muster
-10944,-9488,-3696,muster
-8416,-9168,-3088,muster
-9536,-10208,-1840,muster
-8064,-9904,160,muster
-6960,-9824,-1200,muster
-6480,-9088,-368,muster
-5840,-8816,176,muster
-5360,-8272,320,muster
-5232,-7328,512,muster
-4560,-6592,416,muster
-4096,-5856,976,muster
-96,-4496,6080,muster
-432,-4192,6064,muster
-512,-4016,6192,muster
-464,-4144,5776,muster
-272,-4288,5680,muster
48,-4720,5840,muster
288,-4960,5696,muster
384,-5200,5728,muster
1440,-2272,6240,muster
48,-6656,2640,muster
-80,-3568,7824,muster
-288,-3392,7920,muster
-736,-5728,4176,muster
-576,-4256,6656,muster
-704,-4992,5936,muster
-1056,-5072,5920,muster
-1152,-5200,5376,muster
-1088,-7840,-4224,muster
-1024,-2704,8448,muster
-1376,-7200,7952,muster
