 X, Y, Z,class
-1408,-7200,3872,muster
-1376,-7184,4048,muster
-1424,-7216,3872,muster
-1456,-7248,3856,muster
-1328,-7152,3840,muster
-1456,-7088,3952,muster
-1424,-7040,3888,muster
-1568,-6864,3776,muster
-1456,-6976,3936,muster
-960,-2528,6352,muster
-992,-3328,9344,muster
-1584,-9392,256,muster
-1200,-5616,6384,muster
-1360,-6864,4512,muster
-1520,-7040,4048,muster
-1488,-7024,4432,muster
-1456,-7280,3488,muster
-1344,-7008,3904,muster
-1424,-7296,3600,muster
-1424,-7168,3440,muster
-1376,-7040,3424,muster
-1328,-5232,7952,muster
-3008,-6944,2112,muster
-3168,-7120,2000,muster
-3184,-7104,1840,muster
-3696,-7264,1648,muster
-3952,-7344,1328,muster
-4064,-7504,1056,muster
-4784,-7712,816,muster
-5168,-8080,592,muster
-5392,-8336,112,muster
-10160,-7664,-1136,muster
-10608,-7680,-1424,muster
-10960,-7712,-1456,muster
-11088,-7808,-1504,muster
-11120,-8224,-1424,muster
-10944,-8672,-1600,muster
-10736,-9344,-1952,muster
-9712,-9744,-2144,muster
-11472,-10032,-2320,muster
-13664,-10784,-2240,muster
-14032,-10576,-1760,muster
-13872,-9216,-896,muster
-13520,-8016,-432,muster
-13408,-4816,448,muster
-12256,-1760,2224,muster
-12080,384,4656,muster
-12224,752,6656,muster
-13952,224,8640,muster
-14784,-608,11328,muster
-15200,368,12800,muster
-15248,2544,13024,muster
-13984,4016,11696,muster
-12976,3760,10192,muster
-12368,1856,9216,muster
-10944,-1280,8688,muster
-10048,-3456,8736,muster
-9552,-4544,8624,muster
-9696,-4352,9168,muster
-9360,-4448,9984,muster
-8160,-3888,9664,muster
-7936,-3456,8928,muster
-5920,-3280,7632,muster
-5200,-4096,7008,muster
-4896,-4192,5712,muster
-1888,-6496,4576,muster
-2016,-6384,4864,muster
-2272,-6304,5040,muster
-2288,-6368,4848,muster
-2080,-6416,4640,muster
-2016,-6656,3968,muster
-1328,-6880,3488,muster
-1376,-7024,3248,muster
-1456,-6864,3248,muster
-4672,-10304,3248,muster
-2064,-4976,7312,muster
-2224,-7792,2016,muster
-2608,-4752,7168,muster
-2848,-5008,7216,muster
-2592,-6576,4464,muster
-2576,-5552,5824,muster
-2688,-5664,5152,muster
-2912,-5168,5344,muster
-3088,-5120,5040,muster
-3280,-5040,5136,muster
-2576,160,17280,muster
-3920,-8320,-576,muster
-3856,-7264,1968,muster
-3296,-2960,7760,muster
