 X, Y, Z,class
-2112,-7024,1216,muster
-1872,-6800,1408,muster
-1808,-6416,1760,muster
-1808,-4640,5536,muster
-1888,-6832,608,muster
-1664,-5024,4912,muster
-1616,-8528,-288,muster
-2672,-6256,3440,muster
-2416,-6384,3536,muster
-2448,-6544,3616,muster
-2480,-6592,3696,muster
-2464,-6688,3760,muster
-2528,-6592,3696,muster
-2512,-6512,3552,muster
-2208,-6416,3680,muster
-2288,-4032,4448,muster
-3168,-11216,-5696,muster
-1840,-3584,8208,muster
-2400,-6672,3264,muster
-2272,-6432,3792,muster
-2288,-7216,3152,muster
-2304,-7584,2944,muster
-2288,-6608,4512,muster
-2416,-7120,3360,muster
-2384,-6832,3584,muster
-2416,-6672,3600,muster
-3168,-7104,-2176,muster
-3264,-3760,7648,muster
-2688,-8752,256,muster
-2256,-4576,6624,muster
-1616,-7312,3520,muster
-1584,-7168,3872,muster
-1504,-7104,4256,muster
-1792,-6976,4672,muster
-1856,-6848,5328,muster
-2064,-6752,5584,muster
-2432,-6304,6368,muster
-2592,-5856,6848,muster
-3008,-5392,7232,muster
-3472,-4704,7856,muster
-3664,-4192,8352,muster
-3936,-4240,8512,muster
-3968,-4816,8208,muster
-5248,-5552,1904,muster
-5488,-5360,2016,muster
-5744,-5344,2016,muster
-5664,-5792,1968,muster
-6016,-6272,1600,muster
-5936,-6960,1328,muster
-5920,-7488,864,muster
-5808,-7888,320,muster
-6032,-6928,-816,muster
-5856,-6576,-2416,muster
-4976,-7040,-2672,muster
-5984,-8000,-4880,muster
-6288,-8576,-6144,muster
-4640,-8432,-6320,muster
-3552,-7840,-5952,muster
-3312,-7472,-5376,muster
-3264,-7568,-4960,muster
-3040,-7712,-4240,muster
-3152,-7776,-3440,muster
-3728,-8128,-2464,muster
-4464,-8688,-512,muster
-4848,-8640,2512,muster
-5296,-9344,2752,muster
-6400,-8720,2672,muster
-5744,-8432,1296,muster
-5920,-8256,-400,muster
-9216,-8864,-2032,muster
-10016,-8576,-1792,muster
-9840,-8480,-1472,muster
-9840,-8752,-1872,muster
-9392,-9104,-2080,muster
-8944,-9840,-2032,muster
-9584,-10336,-1760,muster
-9664,-10704,-1184,muster
-11104,-10464,-608,muster
-13904,-8880,192,muster
-14656,-6416,1184,muster
-14768,-3840,2720,muster
-15328,-1696,5056,muster
-15888,-304,7760,muster
-15936,816,10544,muster
-15072,880,11328,muster
-13776,272,10768,muster
-13488,-256,9440,muster
-12288,-608,8880,muster
-11280,-1216,8432,muster
-11184,-2080,9616,muster
-9216,-2960,10176,muster
-9248,-4432,8928,muster
-9360,-4880,9024,muster
-7696,-4144,8368,muster
-6864,-3728,7776,muster
-6640,-3760,7008,muster
-6368,-3696,7232,muster
-5584,-2960,7152,muster
-5120,-2624,6960,muster
-4528,-2896,6368,muster
-3968,-3664,5552,muster
-1008,-6656,3104,muster
