 accX_mean, accX_std_deviation, accX_variance, accX_median, accX_min, accX_max, accX_add, accY_mean, accY_std_deviation, accY_variance, accY_median, accY_min, accY_max, accY_add, accZ_mean, accZ_std_deviation, accZ_variance, accZ_median, accZ_min, accZ_max, accZ_add, average_resultant_acceleration,class
5425.523809523809,1524.5518192023208,2324258.2494331063,6032.0,2496,7056,1380.3537414965988,-707.047619047619,1648.4150678235337,2717272.2358276644,-1312.0,-2496,1968,1526.7120181405896,7383.619047619048,2155.3621831584524,4645586.14058957,7616.0,4352,10080,2015.6371882086173,9189.888747078145,Midair-S
-768.8,1981.8535162821695,3927743.36,-736.0,-3152,2224,1826.4,-1332.8,2318.8140417032155,5376898.560000001,-1272.0,-5312,1952,1952.0,1056.8,5328.0011411410205,28387596.16000001,664.0,-7312,8960,4696.800000000001,1866.610703923022,Midair-S
-3176.0,1067.2191902322597,1138956.8000000005,-2720.0,-6176,-2288,796.0,-7936.8,1734.9082281204385,3009906.56,-8280.0,-9888,-5184,1517.36,-11487.2,2223.8243096072133,4945394.559999999,-11576.0,-14768,-7568,1944.8,14319.061913407595,Midair-S
-7464.0,535.7850315191719,287065.6,-7472.0,-8480,-6464,414.4,-6315.2,1860.0307954439893,3459714.5600000005,-5936.0,-9520,-3600,1542.5600000000004,5108.8,6837.011932123564,46744732.16,6496.0,-6112,16288,5765.92,11031.449790485383,Midair-S
-7488.8,932.574586829386,869695.3600000001,-7072.0,-9152,-6384,826.6400000000001,-10640.8,2569.68903955323,6603301.760000003,-10384.0,-15056,-4784,2152.7999999999993,10373.6,4405.957494120887,19412461.439999994,11808.0,720,15680,3784.24,16640.923262848126,Midair-S
-2066.285714285714,3042.886992923116,9259161.251700684,-976.0,-9344,1072,2486.639455782313,-8092.190476190476,1455.802433582106,2119360.725623582,-8112.0,-10432,-6080,1224.562358276644,1206.857142857143,1801.5025021648246,3245411.265306123,2096.0,-2912,3200,1612.8435374149658,8438.577339769683,Backhand Tennis
-23860.0,9355.562537870184,87526550.4,-28696.0,-32624,-9808,8832.4,-15487.2,4333.204929379639,18776664.96,-16976.0,-21008,-8096,3820.159999999999,3076.0,7845.028387456607,61544470.39999999,3560.0,-7456,16368,6797.6,28611.444211014586,Backhand Tennis
-13888.0,9947.056006678558,98943923.2,-10056.0,-32624,-4160,8641.6,631.2,4160.173765601625,17307045.76,-672.0,-6640,9344,3274.0799999999995,12584.0,2323.161983160021,5397081.6,12720.0,8672,16000,1858.4,18751.85360011111,Backhand Tennis
-2286.4,834.2569388383893,695984.64,-2072.0,-4192,-1232,660.4799999999998,-3609.6,1873.4175829216504,3509693.4399999995,-3560.0,-6768,-720,1504.0000000000007,8030.4,1661.7977734971246,2761571.840000001,7888.0,5360,10688,1398.2400000000002,9096.381768593488,Backhand Tennis
3479.6190476190477,2496.9845142489553,6234931.664399091,3488.0,-2592,7120,2033.922902494331,-11572.571428571431,6200.742233386092,38449204.24489795,-11312.0,-21520,-4800,5540.789115646257,10406.857142857143,4982.121046547242,24821530.12244899,8096.0,1920,20304,4197.442176870748,15947.878660742868,Shake
-4338.4,11009.008413113324,121198266.24,-5520.0,-18928,13472,9912.56,-2204.0,24303.285242946065,590649673.6,-1256.0,-32624,32640,21210.4,903.2,15259.135052813444,232841202.56,-5440.0,-13824,32640,12354.8,4949.252549628075,Shake
