 accX_mean, accX_std_deviation, accX_variance, accX_median, accX_min, accX_max, accX_add, accY_mean, accY_std_deviation, accY_variance, accY_median, accY_min, accY_max, accY_add, accZ_mean, accZ_std_deviation, accZ_variance, accZ_median, accZ_min, accZ_max, accZ_add, average_resultant_acceleration,class
6733.090909090909,294.93218158677973,86984.99173553723,6848.0,6032,7056,241.71900826446281,-2164.3636363636365,324.842695561258,105522.77685950414,-2192.0,-2496,-1312,239.60330578512398,5480.727272727273,988.318414913027,976773.2892561981,5184.0,4352,7616,825.6528925619838,8947.477553954097,Midair-S
3987.2,914.2092539457254,835778.5599999998,3984.0,2496,5536,761.6,896.0,827.2170211014761,684288.0,888.0,-624,1968,716.8,9476.8,562.8294235378957,316776.9599999999,9608.0,8240,10080,467.84000000000015,10320.383620776893,Midair-S
1057.6,881.0597255578081,776266.2400000001,1152.0,-272,2224,769.6,619.2,1040.124300264156,1081858.5599999998,824.0,-1200,1952,916.8,5753.6,2563.299873210312,6570506.240000001,6432.0,1072,8960,2228.48,5882.672807491507,Midair-S
-2595.2,638.5503582333972,407746.56000000006,-2944.0,-3152,-1200,526.72,-3284.8,1432.2466826632904,2051330.56,-3512.0,-5312,-1344,1265.6,-3640.0,2466.743926717972,6084825.6,-4064.0,-7312,256,2153.6,5547.483580867995,Midair-S
-2748.8,161.24317039800474,25999.36,-2720.0,-2960,-2528,146.56000000000003,-6681.6,1551.0793145419739,2405847.04,-5968.0,-9360,-5184,1409.92,-10590.4,1639.1443621597214,2686794.24,-10464.0,-13232,-8160,1448.0,12820.150239369272,Midair-S
-3603.2,1373.6500864485104,1886914.56,-3064.0,-6176,-2288,1200.64,-9192.0,680.3763664325797,462912.0,-9496.0,-9888,-8160,627.2,-12384.0,2365.4797399259205,5595494.4,-13416.0,-14768,-7568,2070.4,15837.909276163948,Midair-S
-7524.8,725.0683829819087,525724.16,-7616.0,-8480,-6464,648.0,-7721.6,1463.0720556418264,2140579.84,-8080.0,-9520,-5712,1344.0,-552.0,3974.26118920234,15794751.999999998,-1272.0,-6112,6160,3470.4,10795.852240559798,Midair-S
-7403.2,202.5185423609404,41013.76000000002,-7448.0,-7760,-7152,178.56000000000003,-4908.8,907.1534379585408,822927.36,-5000.0,-6240,-3600,752.64,10769.6,3688.549720418582,13605399.04,9752.0,6832,16288,3352.320000000001,13960.228215899624,Midair-S
-6803.2,249.3947874355036,62197.75999999999,-6848.0,-7088,-6384,230.4,-8488.0,1437.032497892793,2065062.4,-8896.0,-9984,-4784,1020.8,14083.2,823.3022288321587,677826.5599999999,14200.0,12496,15680,620.1599999999999,17795.117208942458,Midair-S
-8174.4,858.5442562850211,737098.24,-8640.0,-9152,-6848,811.5200000000002,-12793.6,1368.3732824050608,1872445.44,-12656.0,-15056,-10784,1169.92,6664.0,3259.5754324758313,10624832.0,7864.0,720,11120,2835.2,16580.286858797106,Midair-S
-6092.8,608.1178833088203,369807.36,-6248.0,-6784,-4976,506.88,-12768.0,1310.2622638235446,1716787.2,-12200.0,-15568,-11632,1097.6,-603.2,289.24619271478747,83663.36,-616.0,-1072,-208,235.2,14160.080722933753,Midair-S
157.0909090909091,671.4393568427124,450830.8099173553,144.0,-1008,1072,572.8264462809917,-6925.090909090909,679.5358649368974,461768.99173553725,-6928.0,-8112,-6080,550.0826446280992,2645.818181818182,358.6981050667991,128664.33057851244,2656.0,2032,3200,292.2314049586776,7414.979130390877,Backhand Tennis
-4512.0,2743.9137012668602,7529062.4,-3864.0,-9344,-976,2422.4,-9376.0,892.3066737394715,796211.2,-9448.0,-10432,-8272,857.6,-376.0,1375.0368722328867,1890726.4,-480.0,-2912,2096,1022.4,10411.9592776768,Backhand Tennis
-15326.4,5387.594401957148,29026173.44,-13392.0,-26848,-9808,4468.48,-16182.4,3045.285510424269,9273763.84,-17000.0,-20208,-10992,2622.72,-3355.2,4369.787473092942,19095042.559999995,-5032.0,-7456,6688,3526.7200000000007,22539.43153142953,Backhand Tennis
-32393.6,618.2794190331747,382269.44,-32624.0,-32624,-30544,369.9200000000012,-14792.0,5226.180249474754,27312960.0,-15856.0,-21008,-8096,4862.4,9507.2,4612.291335117504,21273231.360000007,9200.0,3024,16368,4160.0,36858.3157075849,Backhand Tennis
-21712.0,8476.745035684393,71855206.4,-21104.0,-32624,-10656,7644.8,2144.0,5452.705163494538,29731993.6,2584.0,-6640,9344,4732.8,14076.8,1871.6006411625322,3502888.96,14416.0,10112,16000,1584.0,25964.667882335794,Backhand Tennis
-6064.0,1898.0748141208765,3602687.9999999995,-5424.0,-9456,-4160,1680.0,-881.6,552.2411067640654,304970.24000000005,-776.0,-1712,272,446.72000000000014,11091.2,1683.5588970986432,2834370.56,11896.0,8672,12880,1605.7599999999998,12671.3863487781,Backhand Tennis
-2892.8,739.2207789287311,546447.3599999999,-2840.0,-4192,-1920,694.4,-2105.6,1159.9326877021788,1345443.8400000005,-2192.0,-3488,-720,1123.2,9412.8,982.3804558316498,965071.36,9456.0,7872,10688,923.2,10069.888134433271,Backhand Tennis
-1680.0,331.78306165324346,110080.0,-1664.0,-2096,-1232,323.2,-5113.6,1072.3390508603143,1149911.0400000005,-5112.0,-6768,-3632,982.4,6648.0,857.9118835871201,736012.8,6384.0,5360,7904,776.0,8553.783312663467,Backhand Tennis
-443.2,924.2143474324557,854172.1600000001,-672.0,-1584,1136,769.6,-7795.2,789.6871279183928,623605.76,-7984.0,-8992,-6736,690.5600000000002,3457.6,1376.1944048716375,1893911.0400000003,3664.0,864,4944,1034.88,8539.119804757396,Backhand Tennis
2720.0,1090.0301914083932,1188165.8181818184,2176.0,1904,5344,907.6363636363636,-6759.272727272727,2735.190639555266,7481267.834710745,-5200.0,-12880,-4800,2270.9421487603304,7381.818181818182,979.3984998393673,959221.4214876036,7120.0,6240,9456,809.2561983471074,10371.952924646079,Shake
4315.2,3233.1803785127727,10453455.36,5816.0,-2592,7120,2613.76,-16867.2,4358.464610387469,18996213.759999994,-17504.0,-21520,-7648,3664.0,13734.4,5470.97627850825,29931581.439999994,14008.0,1920,20304,4444.8,22175.59762982725,Shake
-13899.2,4626.08146923506,21400629.76,-15384.0,-18928,-3184,3750.72,18809.6,13250.481313522163,175575255.04000002,21472.0,-2240,32640,11964.8,-7904.0,3619.5593101923328,13101209.6,-7392.0,-13824,-2432,3212.8,24687.284759568032,Shake
5222.4,6178.84369765088,38178109.44,7008.0,-6224,13472,5091.84,-23217.6,11071.644965406002,122581322.24000002,-28000.0,-32624,-272,9325.76,9710.4,17246.670746552794,297447651.83999985,3176.0,-9616,32640,16164.48,25702.573405789546,Shake
-6025.6,6281.809471800301,39461130.24,-8272.0,-11856,8720,5162.879999999999,10483.2,24031.375544483504,577507010.5600001,18752.0,-32400,32640,20572.160000000003,-10480.0,9796.869377510347,95978649.59999998,-12920.0,-20288,15056,7014.4,16001.116761026402,Shake
3472.0,8213.213159293993,67456870.40000002,4256.0,-7600,14112,7478.4,-622.4,24116.14716823564,581588554.24,-2504.0,-32624,32592,21368.0,4921.6,19874.0072416209,394976163.84,-1024.0,-20640,32592,17857.920000000002,6055.106301296451,Shake
6467.2,9170.263734484412,84093736.96000002,8856.0,-5648,18160,8444.8,-13424.0,23048.14633761249,531217049.6,-25216.0,-32624,31440,19923.2,5166.4,18065.03656901917,326345546.23999995,7168.0,-20960,27872,16481.6,15770.863666901696,Shake
-2512.0,6724.855388779747,45223680.0,-5536.0,-8944,11664,5958.4,14168.0,16109.203729545416,259506444.8,15680.0,-12336,32640,14209.6,-10422.4,10488.405057014152,110006640.64000005,-13880.0,-21360,11376,8885.12,17767.070376401396,Shake
8070.4,5395.086119794567,29106954.239999995,8704.0,-1152,15328,4462.72,-19091.2,13023.65562198264,169615605.75999996,-22336.0,-32624,3824,11974.4,10891.2,15845.487615090928,251079477.76,10048.0,-12640,32560,14158.4,23414.173293968764,Shake
-4238.4,6950.313995784651,48306864.63999999,-7064.0,-10336,12832,5515.84,8324.8,24602.674118070987,605291573.76,18456.0,-32560,32640,21632.64,-11128.0,10277.631478117904,105629708.79999998,-13600.0,-22080,13520,7651.2,14529.236511255504,Shake
4065.6,9080.601072616284,82457315.84,4792.0,-8528,16304,8120.000000000003,-4470.4,22062.004492792585,486732042.24,-6600.0,-32624,32352,18880.0,5620.8,19791.211043288888,391692034.56,3080.0,-22912,32432,17681.6,8252.694842292425,Shake
3540.8,7686.464112971582,59081730.56000001,6712.0,-8032,13248,6887.039999999999,-9670.4,24191.907089768683,585248368.64,-18696.0,-32624,32624,20942.72,5089.6,21827.964977065545,476460055.04,4352.0,-23712,32576,20648.0,11487.294240159428,Shake
-2740.8,3622.8328363312603,13124917.760000002,-2520.0,-7616,4256,2981.76,11044.8,15915.83471138099,253313794.56,14032.0,-17200,31280,14289.6,-12851.2,9331.942357301614,87085148.16,-14944.0,-24192,6128,7836.160000000002,17165.4575563834,Shake
5045.818181818182,487.4225007269115,237580.69421487604,4816.0,4384,5936,425.2561983471074,-5586.909090909091,443.6578236240289,196832.26446280992,-5664.0,-6272,-4896,395.3719008264463,3760.0,566.0966830369655,320465.4545454546,3600.0,3216,5136,436.3636363636364,8414.953019123137,Midair-S
4923.2,627.1938775211378,393372.16,4992.0,3968,5856,530.5600000000002,-3760.0,1427.0349680368736,2036428.8,-4088.0,-5712,-928,1168.0,9427.2,1917.796068407692,3677941.7600000007,10248.0,5888,11680,1714.56,11280.407708943858,Midair-S
1686.4,1737.9447171875174,3020451.84,1552.0,-1136,3920,1612.8,-449.6,1869.89899192443,3496522.2399999993,152.0,-3696,1888,1573.4399999999996,7356.8,3172.4719951482625,10064578.559999997,8072.0,400,10480,2567.04,7560.991427055053,Midair-S
-3576.0,755.9132225328514,571404.8,-3664.0,-4624,-2240,689.6,-3468.8,886.0533618242188,785090.5599999998,-3472.0,-4992,-2288,748.8,-8022.4,4733.465267644836,22405693.44,-6304.0,-15856,-1424,4033.28,9443.47664793004,Midair-S
-3124.8,946.1142425732739,895132.1599999998,-3648.0,-4000,-1744,883.8399999999998,-5222.4,1073.722794765949,1152880.64,-5480.0,-6400,-3520,960.0,-15643.2,2720.790943824976,7402703.36,-14976.0,-19712,-12176,2423.04,16785.33714406714,Midair-S
-4332.8,1337.1980257239388,1788098.5599999996,-4120.0,-6352,-2112,1139.2,-6160.0,1599.9519992799787,2559846.4,-6872.0,-8048,-3936,1516.8,-5926.4,7969.587632995826,63514327.04000001,-8088.0,-15776,10704,6728.320000000002,9583.369595293714,Midair-S
-900.8,2142.459745246104,4590133.760000002,-456.0,-5216,1104,1811.52,-4076.8,1793.7676995642441,3217602.5600000005,-3768.0,-6864,-912,1490.56,20449.6,1689.5795453307312,2854679.0400000005,20816.0,17088,22864,1377.2800000000002,20871.46087460099,Midair-S
